,tweet,sentiment
881,filbry schaden ja ausmaß unklar,negative
882,danke die andere hälfte der erde hat immer eine winterwm was soll die ganze aufregung,neutral
883,liebe nur mal als tippwenn ihr tagsüberampmit tweetet erreicht ihr viel mehrso geht euer tweet unter,positive
884,katarrh in qatar,neutral
885,hab 26 grad sehr mühsam mein bier ist schon wieder warm wir bergler freuen uns auf,positive
886,ich schaue internationalen fußball und draußen hat es 1c das nennt sich dann wohl wmfeeling,neutral
887,was für ein schwachsinn die in katar auszutragen,neutral
888,keine nation ist gezwungen an teilzunehmen nur das gastgeberland falls sie ein team haben,neutral
889,sollte dann aber auch wintermeisterschaft 2022 heissen oder,neutral
890,verlegt 2022 in den damit nicht mit kollidiert,neutral
891,die im winter für berliner weihnachtsmarktbetreiber eine katastrophe public viewing am riesenrad möglich,neutral
892,ich hab echt keine lust auf ne wm im winter,positive
893,ob jetzt die fussballwm im winter oder im sommer bei 2 grad stattfindet spielt also wirklich keine rolle,negative
894,sauft ihr ruhig weiter amarula ich trinke derweil winterzeittee mit schuss und bereite mich so guckend auf die vor,positive
895,vorschlag in boykottieren und sie wieder in brasilien machen die infrastruktur ist da und verrottet sonst,negative
896,deutschland das wintermärchen mit veronika ferres als sepp blatter amp heiner lauterbach als daniela löw ab 2023 ihn ihrem kino,neutral
897,nun doch im winter klasse dann also bald sommer und winterweltmeisterschaften doppelte geldvermehrung für die,neutral
898,kein schlechter kommentar zur in,positive
899,man sollte die in boykottieren korrupte,negative
900,lupenrein demokratische fifaentscheidung demokratie platz 136 pressefreiheit platz 115 platz 1,positive
901,regenzeit und glühwein afrika cup wird bei wmverlegung in den regenreichen sommer geschoben,neutral
902,attackiert den weltverband muss zahlen,neutral
903,wegen winter gingen erste gesuche von weihnachtsmärkten ein selbst gestrickte schals in nationalmannschaftsfarben zu verkaufen,neutral
904,fussball wm im winter gibts schon seit jahrzehnten fragt doch die südamerikaner und australier arroganz,positive
905,und sagen der danke für die winter wm in dem zeitraum werden wohl kaum zuschauer in die hallen kommen,neutral
906,im advent passt doch perfekt da geht keiner zum weihnachtsmarkt und die plätze wären frei für dieses publicviewing,positive
907,zur ist nicht überall winternur auf unserer seite des balls das problem bleibt,neutral
908,keine fußballwm im winter,neutral
909,der postillon papst verlegt weihnachten 2022 in den sommer damit adventszeit nicht mit wm kollidiert,neutral
910,das einzig positive an einer winterwm in keine schwarzrotgoldenen anja amp tanja event bratzen mw auf den straßen,positive
911,gründe für sepp blatter oder für die,neutral
912,im winter die causa könnte die fußballwelt spalten ein kommentar zum streit zwischen und klubs,neutral
913,klage auf neuvergabe möglich ausschreibung the competitions fifa world cup sagt klar die 22 auflage im juni undoder juli,positive
914,da kann ich während der spiele wenigstens endlich einmal in ruhe die weihnachtseinkäufe erledigen find ich gut,positive
915,der termin im winter ist nun wirklich die kleinste an dieser ganzen,positive
916,der wird wegen der verschoben,neutral
917,katarstrophe,neutral
918,im winter die sexy spieler werden uns schon einheizen und in reicht so oder so ne aus,neutral
919,für alle die sich erst jetzt zuschalten hier meine wutrede auf die vollpfosten,neutral
920,so langsam wird klar was eine von im bedeutet der wird verschoben,positive
921,das ist absoluter mist schausteller sind verärgert über winterwm,negative
922,spitzendung zur,neutral
923,2026 north korea,neutral
924,über die winter,neutral
925,vor allem hätte so die fifa den schaden da sich niemand für ne wm ohne topspieler interessiert,neutral
926,niemand kann den trainern vorschreiben wen sie nominieren und wenn alle topnationen mitmachen wäre das n starkes zeichen,negative
927,wenn die nationaltrainer dieser welt cool wären würden sie für die wm 2022 einfach spieler aus den 3 und 4 ligen nominieren,positive
928,wer mit putin ins bett geht verschmäht auch keine reichen männer aus dem orient,neutral
929,wmfinale am 23 dezember 2022 in katar sry aber ihr seid korrupte geldgeile und sportlich inkompetente schweine,positive
930,couldnt agree more gehört nicht nach qatar genau so ist es,neutral
931,fußballnation züchte sich eine nationalmannschaft die kickerkaderschmiede der scheichs in eupen,neutral
932,wieso dürfen eigentlich leute über die wm entscheiden die 2022 nicht mehr im amt sein werden,neutral
933,zuerst die an katar vergeben dann von sommer auf winter schieben,positive
934,die konsequenzen der winterwm,neutral
935,das winterdilemma kurz und knapp auf den punkt jeden tag ein törchen statt jeden tag ein türchen gt,neutral
936,die bleibt stur neues aus der welt von,negative
937,wm 2022 qatarstrophe,neutral
938,winterwm 2022 in katar viele fragen sind noch offen,neutral
939,in der weihnachtsbolzerei zur im winter muss deutsches liedgut umgetextet werden ocke bandixen,neutral
940,besonnene position zum thema,positive
941,sehr treffender kommentar zur von danke für diese sichtweise die sicher nicht viele auf dem schirm hatten,positive
942,es geht nicht um die stupid,neutral
943,wie soll dann eigentlich 2022 das deutsche orakel aussehen pinkelt bernie der lustige lawinenhund ergebnisse in den schnee,positive
944,korrupten deppen sind an arroganz und berheblichkeit ja noch schlimmer wie politiker ein krimineller haufen,negative
945,pausiert wegen geschäftsführer fürchtet schlechtere vermarktung und berstrahlungseffekt,neutral
946,man könnte polemisch fragen ob es bis dahin noch gibt,negative
947,das motto für die karnevalssession 2016 in köln könnte auch für die gelten mer stelle alles op der kopp,neutral
948,hinter der verschiebung der steckt natürlich weder die noch sondern die glühweinindustrie,positive
949,zur quelle,neutral
950,aus aktuellem anlass zur mit glühwein unterm heizstrahler,neutral
951,in katarund in den gebetszeiten ist spielpause,neutral
952,in katarund nach dem spiel in die kneipe in katar is nicht,neutral
953,in katarappelsaft für alle,neutral
954,die drei wichtigsten gründe für eine winter in katar 1 2 3,neutral
955,am 4 advent bei der schmettern wham ihr last christmas i gave u my goal,neutral
956,eine schlechte idee ist eine schlechte idee ist eine schlechte idee ebenso jahreszeit ist da egal,negative
957,mit haben wir uns abgefundenwas die wm ist im winter lasst uns auf die barrikaden gehen,neutral
958,mir geht es zuallererst nicht um winter oder sommer die ganze vergabe der nach qatar ist unerträglich,negative
959,in der adventszeit geht fußball wm aber nicht vor ramadan nicht so ganz nachvollziehbar,neutral
960,müssen astronomische gelder zw und fifa geflossen sein dass man all diese nachteile in kauf nimmt,negative
961,was bei der diskussion um irgendwie vergessen wird,negative
962,für gf pommer ist es ein denkbares szenario dass die während der winter eine spielpause einlegt via,neutral
963,glühwein glühwein glühwein etwas ausführlicher,neutral
964,die fifa macht was sie will auch wenn die vielen schadet,negative
965,nee wegen günstigerer wetterprognosen findet die 12 zwei jahre früher statt,neutral
966,und wer leistet kompensationszahlungen schlimmes konstrukt für vielleicht bis zu 4000 tote gastarbeiter,negative
967,schöner satz im kommentar zur winter die fifa hat weihnachten gestohlen,positive
968,jetzt hat die glühweinindustrie also der bierindustrie ein schnippchen geschlagen,neutral
969,ligaboss die ist verpflichtet kompensationszahlungen gegenüber ligen mit erkennbaren nachteilen zu leisten,positive
970,unmögliche aufgabe ber die in schreiben und keinen hass auf sepp kriegen,neutral
971,warum wird eigentlich nur noch über zeitraum amp entschädigung für vereine gesprochen statt über vergabe amp gastgeberland,neutral
972,doha erste loksitzung für katar 2022,neutral
973,korrektur glühweinwm 2020 was bildet eigentlich den kern einer wm die spiele oder die fanmeilen,neutral
974,dass katar menschenrechte egal sind ist keine nachricht ob es fußballspielern im sommer zu warm ist schon is ja auch wichtiger,positive
975,glühweinwm 2020 was bildet eigentlich der kern einer wm die spiele oder die fanmeilen,neutral
976,absolut daccord verlegung und neuvergabe überfällig ist falsch,negative
977,reinhard rauball plichtet karlheinz rummenigge in der diskussion um die in katar bei,neutral
978,irrsinn kann eigentlich niemand blatter stoppen ich will kein public viewing auf dem weihnachtsmarkt,neutral
979,genau ich lieg in den wintermonaten standardmäßig mit grippe und nasennebenhöhlen voll mit katarrh im bett,neutral
980,ob juli oder dezember es geht ums geld das war ja bei der vergabe der nicht anders,positive
981,ich verstehe die aufregung um die nicht wenn der klimawandel sich ranhält ist public viewing kein problem,neutral
982,echt jetzt das ganze is mir echt zu kalt amp überhauptbesinnliche adventszeit was will ich da mit,positive
983,sollte sich die noch pro verlegung der entscheiden wären die sander tannen bereit der fußball ist bereits auf weltniveau,neutral
984,ich bin dabei,neutral
985,zweifelhaft ob ühaupt in ist bis dahin haben die amis längst auch dort einen krieg entfacht,negative
986,gemeckere nervt als ließe sich beeinflussen entw richtig einmischen oder hinnehmen an lösung arbeiten,positive
987,hat eigentlich mal jemand überlegt dass die für die andere hälfte der welt jetzt im sommer stattfindet,positive
988,ich glaube in der pharma und tabak industrie herrscht zusammen weniger korruption als bei der fifa,neutral
989,glühweindusche statt bierdusche,neutral
990,winterwm in katar fifa will clubs nicht entschädigen,neutral
991,denen geht es nur noch ums geld die wm hat in katar einfach nichts verloren,positive
992,da will die die im winter aber nicht mal kompensationszahlungen an die vereine leistendas ist so ein unfähiger haufen,neutral
993,absage wäre eines weltmeisters sehr würdig finde ich,positive
994,wird bestimmt lustig,positive
995,es gibt kein bier in kein kühler fleck und nur vom khaleegy geht der durst nicht weg,neutral
996,bis zur könnten rund 4000 menschen bei bauarbeiten sterben,neutral
997,schmeckt bestimmt lecker auf dem weihnachtsmarkt aus aktuellem anlass,neutral
998,gestern die meldung von der advents danach auf und heute das hat doch,neutral
999,anfang jan mitte febr 2023 afrikacup juni 2023 da ists auch kühler keine terminüberschneidungen,neutral
1000,winterwm in fußballdeutschland zwischen wutausbruch und glühweinwitzen,neutral
1001,meine bezaubernde frau 27j freut sich ja sehr sehrsehrsehrsehr dass durch die verlegung der draußen mehr ruhe herrschen wird,positive
1002,nennen sie spontan ein beispiel das gegen die in spricht herr in katar ist der verkauf von alkohol verboten,neutral
1003,alle regen sich über den termin auf und niemand kommt auf idee die wm 2023 im januarfebruar auszutragen,neutral
1004,also ich hab jetzt immer weniger bock auf die in finde überhaupt man sollte die korrupte amp boykottieren,negative
1005,die wird ihnen präsentiert von fassbrause,neutral
1006,und schöne bescherung läuft dann in neuverfilmung als elfmeterschießen gegen england,positive
1007,wm 2022 ligaboss attackiert scharf,neutral
1008,klassiker was alles für sepp blatter spricht,neutral
1009,ein affront präsident kritisiert und die verlegung der in qatar vor weihnachten scharf,neutral
1010,die wichtigsten fragen zur,neutral
1011,stell dir vor es ist und keiner geht hin,neutral
1012,nein kinder das ist nicht der nikolaus das ist der meireles,neutral
1013,aus aktuellem anlass verlogene diskussion über den boykott,negative
1014,die aufregung über die verlegung der in den winter ist groß das wahre problem gerät in den hintergrund,positive
1015,was für ein gejammerwer soviel verdientsollte die arschbacken zusammen kneifen und den turban aufsetzen,neutral
1016,advent advent der schürlle rennt,neutral
1017,11 lesenswerte meinungen zur via,neutral
1018,pausiert die während der fußball jan denkt offen darüber nach,neutral
1019,heute sind sich und mal einig,neutral
1020,wm im winter apres ski mal anders skigebiete freuen sich sicher schon,positive
1021,na wenigstens wissen wir schon heute das der song von stammen wird,neutral
1022,ich fordere fußbodenheizung für alle fanmeilen zur ist dann von unten schön warm,positive
1023,den größten umsatz im europäischen raum werden bei der wohl die heizpilzherstellerverkäufervermieter machen,neutral
1024,frag mich ob die sommerpause bis immer mehr nach hinten verschoben wird bis sie mit dem spielplan übereinstimmt,neutral
1025,die reaktion von rummenigge und co darauf dass sie für eine winterwm wohl nicht entschädigt werden,neutral
1026,findet das der einen tag vor dem heiligabend statt die plädiert jedenfalls dafür,neutral
1027,in katar fifa lehnt entschädigungen für klubs ab und finale am 23 dezember ich lach mich tot,negative
1028,ach ja wenn ger bras und ita ankündigen nicht zu erscheinen dann ist die in vom tisch,neutral
1029,kümmert es irgendein land so sehr wie deutschland dass eine wm im winter stattfinden soll,neutral
1030,mist vom glühwein sind die fans beim publicviewing schneller besoffen amp kriegen gar nicht mehr den schlusspfiff mit,neutral
1031,dr rauball pflichtet rummenigge im bezug auf bei erwarte kompensationszahlungen von der fifa,neutral
1032,public viewing mit glühwein und heizdecken,neutral
1033,ob zürich im winter 2022 das seebecken künstlich einfriert,neutral
1034,last freistoß i gave you my heart,neutral
1035,ich begrüße die winter sehr wenn dann endlich diese public viewings inklusive der eventfans von der bildfläche verschwinden,positive
1036,und schwups war ich eben bei zu hören und habe was zur winterwm gesagt und die winterentscheidung verteidigt,positive
1037,stelle es mir sehr besinnlich vor schland brüllend unterm weihnachtsbaum zu sitzen,positive
1038,meine idee zur vernünftig werden ausbeuterdiktaturkatar die wm wegnehmen dann stellt sich das winterproblem nicht mehr,neutral
1039,menschenrechte sind egal aber wenn es kein public viewing gibt geht der deutsche auf die barrikaden,neutral
1040,klar was sollen die ganzen eventottos denn im winter machen wenn keine öffentliche aufbahrung stattfindet,positive
1041,was macht ihr so eine welle leute die wm ist noch 7 jahre entfernt also beruhigt euch,positive
1042,exklusiv wegen unzureichenden kompensationszahlungen rummenigge sinniert über boykott d wm in wettbewerb wird zur farce,neutral
1043,ein halbe katastrophe scharfe kritik von europäischen fussballvereinen,neutral
1044,ist doch auch geil auf dem,positive
1045,endlich haben wir eine antwort auf die frage des letzten wm songs wer friert uns diesen moment ein,neutral
1046,die und ihr gottgleicher boss mit ihrer wm da krieg ich blutdruck eine polemik unter,neutral
1047,trozdem wird es wohl die schlechteste wm aller zeiten mit der schlechten führung kann das ja auch nie was werden,neutral
1048,publicfreezing statt publicviewing so lacht das netz über die winter in,positive
1049,zu leichte kleidung zu kühle getränke deutschland droht monstergrippewelle im winter 2022,negative
1050,driving home for christmas wird dann der neue wmhit,neutral
1051,die pläne mit der im gibt es ja erst ein paar tage und hoffentlich bringt sich die in position,neutral
1052,jetzt möcht ich es aber wissen wer hat so eine jacke,neutral
1053,die fifa ist dreist vielleicht sollte sich europa von distanzieren,negative
1054,wenn ich das richtig mitbekommen habe hat die den plänen nicht widersprochen,positive
1055,fifairrsinn in der wüste dem ist nix hinzuzufügen via,neutral
1056,eil verpflichtet für den titelsong der last christmas i sold you my heart,neutral
1057,in rudelgucken auf dem osnabrücker weihnachtsmarkt können sich die schausteller nicht vorstellen,neutral
1058,der fußball verliert mich aus aktuellem anlass nochmal getwittert,negative
1059,erst regt man sich auf wie doof das ist die im sommer abzuhalten weil es zu heiß ist aber die ist auch nicht besser,negative
1060,wir zerstören nicht den fußball ohh doch herr genau das tuen sie via,neutral
1061,now that the world cup in winter occurs i wonder where there are more camels in qatar or at fifa,neutral
1062,zur gibt es statt chips und bier glühwein und weihnachtsgebäck,neutral
1063,will in katar auf novdez verschieben das empfiehlt zb im kölner dom wein ist ja da,neutral
1064,wir reservieren uns hiermit 15 logenplätze an der grevenbroicher glühweinbude fürs finale 2022,neutral
1065,lametta in schwarzrotgold jingle balls und adventskalender mit wettscheinen mehr zur prexmas,neutral
1066,die will den clubs keine entschädigungen für im winter zahlen das thema dürfte uns noch beschäftigen,neutral
1067,werden dann die nationalspieler in spekulatius verewigt,neutral
1068,vereine und spieler wollen nicht zur nach folgen,neutral
1069,im winter kommt dann die fußballhymne von wham,neutral
1070,will europ vereine für verlegung der in den winter nicht entschädigen nd warum auch,neutral
1071,einen weltweiten profiboykott der fände ich mal witzig dann wird katar vizeweltmeister nach russland,positive
1072,na so schlimm finde ich das nicht mit winter schlimmer finde ich dass es in der weihnachtszeit ist,negative
1073,eine wm um die weihnachtszeit wo bleibt der sinn wieder mal eine glanzleistung der tollen fifa nicht,positive
1074,boykot wm 2022,neutral
1075,unverschämt die vereine leiden auch alle an kronischen geldmangel und alle spieler sind unterbezahlt,negative
1076,das wird rummenigge nicht gefallen fifa will vereine nicht entschädigen,neutral
1077,mit dem zeitunterschied gucken wir die dann also um mitternacht bei schneeregen und 5 grad auf dem heiligengeistfeld,neutral
1078,spielt es wirklich eine so große rolle wann bzw wie lange die ist hindert die nörgler ja doch nicht am schauen,positive
1079,will europäische vereine für verlegung der in den winter nicht entschädigen nd,neutral
1080,man könnte ja die insoweit kürzen dass es nur noch ein enspiel gibt oder gar nix,neutral
1081,dieses auf dem weiß man da schon etwas genaueres,neutral
1082,sehr schön die zur in,positive
1083,im winter dann eben und im sommer am strand,neutral
1084,low poly architecture island prison zwischenprüfung,neutral
1085,10 weirdest things ever sold online zwischenprüfung,neutral
1086,this is what tea means zwischenprüfung wartezimmer,neutral
1087,kurz vor weihnachten ist natürlich eine steilvorlage für die freunde der bengalos feuer nur zum aufwärmen bei publicviewing,positive
1088,oder doch im netz wird fleißig diskutiert über den neuen wmtermin das video,positive
1089,das wort christstollen bekommt mit einem mal eine ganz andere bedeutung,neutral
1090,der gong für die nächste runde in der farce um die in ist somit ertönt das werden noch spaßige 7 jahre,neutral
1091,ist ja perfekt da wir uns nicht mit lagerbiertrinker herumschlagen müssen ein imperial stout oder ein gühlkriek tuts auch,positive
1092,keine entschädigung für die vereine bei der geplanten winter fifageneralsekretär contra,neutral
1093,findet in katar statt wird mit leicht erhobenem finger kurz erwähnt findet im winter statt was sondersendung,neutral
1094,klubs wollen ausgleichszahlungen für verlegung doch weigert sich turnierverkürzung auf 28 tage,negative
1095,und 2022 heißt es dann in unserem wmstudio nur die harten komm in garten,positive
1096,alle meckern ob der im winter seht es positiv wenn spielt kaufe ich geschenke ein,negative
1097,der sepp will jetzt auch noch den sommer in den dezember verschieben langsam reicht es,negative
1098,bilden sie sich ihre eigene über die in mehr entdecken,neutral
1099,geht wohl nur 28 tage,neutral
1100,bei der in fehlt jetzt nurnoch das es wie im kein öffentlicher sender ausstrahle darf,neutral
1101,es ist doch so wenn man sich jetzt schon seelisch auf den wmboykott 2022 vorbereitet sollte es doch möglich sein,neutral
1102,das korrupte schwein will uns zur ein aufzwingen ich hoffe vorher erschlägt ihn jemand,negative
1103,valcke von der bestätigt dass die 28 tage dauern wird 4 tage weniger als sonst itv,negative
1104,im winter katholischer sportbischof jörg michael peters siehts gelassen solange das endspiel nicht an weihnachten ist,neutral
1105,das des 1fc union berlin findet 2022 wie gewohnt am 2312 statt allerdings im port stadium,neutral
1106,die bestätigt dass sie den 23122022 für das finale in vorgeschlagen haben skyhq,positive
1107,fußball im winter statt autokorso geht man dann halt zusammen rodeln,neutral
1108,soccer is more important than you fag,neutral
1109,lasst uns froh und weltmeister sein wird das wmlied zur,positive
1110,der eigentliche skandal ist dass die überhaupt nach katar vergeben worden ist die uefa sollte das turnier komplett boykottieren,negative
1111,sieben jahre dürften ausreichen um sich auf einen geänderten ligaterminplan einzustellen,neutral
1112,whats all the fuzz about,neutral
1113,gut dass philipp lahm nicht mehr dabei ist der ist in der vorweihnachtszeit immer so hibbelig,neutral
1114,in die runde gefragt die fussball in katar an sich ist kein problem nur der neue termin im novemberdezember,neutral
1115,resultat umfrage im winter,neutral
1116,um fußball im weitesten sinne und um,neutral
1117,endlich wissen wir wer der weihnachtsmann wirklich ist danke,positive
1118,ach fifa bescherst uns eine wm im winter und dann noch viele durchschnittliche gags dazu,neutral
1119,vor probleme bei und durch verlegte,neutral
1120,rote karte für die erde und ihre klimazonen,neutral
1121,das sie im winter sein soll ist doch das einzig gute an ihr,positive
1122,warum muss sich die ganze fussballwelt auf den kopf stellen damit das fussballtraditionsland katar die austragen kann,neutral
1123,hat jemand eigentlich gefragt wie er das findet immerhin spielt er dann nur die zweite geige,neutral
1124,im winter ist fast wie eishockey gucken fußball dauert nur länger,neutral
1125,fanfest an der eisbar oder auf dem weihnachtsmarkt,neutral
1126,serieaspiel in parma fällt aus verwirrung um termin in qatar für,neutral
1127,eca dementiert winterwm 2022,neutral
1128,nach informationen von wird die im winter stattfinden,neutral
1129,im winter finde ich gut dann spielt die endlich mal im sommer,positive
1130,laut findet die in im novemberdezember statt ich sag nur,neutral
1131,schon mal ein schönes plätzchen auf den kanaren buchen,positive
1132,noch nie wurde eine europäische mannschaft am persischen golf winterweltmeister das sollte ansporn genug sein für das dfbteam,positive
1133,im winter ich freu mich auf public viewing und autokorso bei eis und schnee,neutral
1134,die fifa boxt die wm für novdez durch das ding ist gelaufen via ssnhd zum kotzen,negative
1135,katar soll für stimmen gekauft haben u bewirbt sich nun für 20242028,negative
1136,der letzte bericht über tote bauarbeiter in ist btw ca 1 jahr alt warum eigentlich liebe journalisten,neutral
1137,wmfinale dann am sonntag 1812 2022,neutral
1138,geil wmspiel und nikolaus an einem tag ist ja fast wie weihnachten,positive
1139,mir ist es egal ob ich die im sommer oder im winter boykottiere sie schwimmt zu jeder zeit in einem meer aus blut,neutral
1140,katarrh,neutral
1141,was regt ihr euch denn noch darüber auf war doch schon lange in planung und eigentlich auch klar d,positive
1142,autokorso fällt dann aus weil alle autos im schnee stecken bleiben,neutral
1143,winterwm in dh mit wollmütze und glühwein beim publicviewing,neutral
1144,breaking in findet im novemberdezember statt alle infos jetzt exklusiv auf,neutral
1145,ich will das nicht,neutral
1146,die meldung von der kommt von und als kleine info,neutral
1147,im novdez wasn scheißhaufen,neutral
1148,da haben wir ja noch ne weile hin,neutral
1149,wie toppt man den schwachsinn einer wm in katar man trägt sie im winter aus die korrupte macht selbst das möglich,neutral
1150,dann ist wohl public freezing statt public viewing angesagt amp dosenbier statt rotwein am 2412 in im dezember,neutral
1151,breaking die in findet im novemberdezember statt,neutral
1152,aus public viewing wird 2022 in katar also public freezing dankeschön liebe,positive
1153,bestimmt dann powered by christkindlmarktglühwein,neutral
1154,wm finale an heiligabend,neutral
1155,wird auch bestimmt keine probleme in den ligen werden,neutral
1156,statt bratwurst und bier gibt es lebkuchen und glühwein,neutral
1157,ihr habt sie nicht mehr alle,neutral
1158,in findet im novemberdezember statt via,neutral
1159,tipp für die in endspiel am 2412 dann hättet ihr den rahmen den ihr euch wünscht scheiss fifa,negative
1160,fußball im eisfach so kühlt die in der wüste und wie sich das für fans anfühlen wird,neutral
1161,im november und dezember damit wir uns beim public viewing den arsch abfrieren können,neutral
1162,sportmacht sklavenstaat mit bildern amp stimmen aus arbeiterbaracken,neutral
1163,fck of fifa und blatter winter wm wat fürn scheiß,negative
1164,puplik viewing aufm weihnachtsmarkt am glühweinstand statt grillen im gartenthat sucks,neutral
1165,auf den weihnachtsmärkten hängen an den christbäumen dann großbildleinwände oder wie darf man sich das vorstellen,neutral
1166,wir können nicht zur nach reisen im novdez schauen wir lieber die entscheidenden spiele der gruppenphase,neutral
1167,public viewing mit glühwein statt bier austragungstermin im novemberdezember,neutral
1168,winterwm fänd ich cool ich geh ja eh nicht auf die fanmeile aber nur im januarfebruar und nicht novemberdezember,positive
1169,in angeblich im novemberdezember,negative
1170,die findet im dezember und november 2022 statt will die uszeitschrift herausgefunden haben,neutral
1171,uszeitschrift berichtet fußball im winter,neutral
1172,die fußball soll also im novemberdezember stattfinden oh man,neutral
1173,spiegelonline experten favorisieren die austragung der in im november und dezember,neutral
1174,experten favorisieren die austragung der in im november und dezember,neutral
1175,jetzt wohl klar die in soll im winter sprich novemberdezember ausgetragen werden muss wohl hinten an,positive
1176,angeblich im novemberdezember 2022,negative
1177,laut wird die in im ausgetragen,neutral
1178,public viewing zur dann so,neutral
1179,gibt übrigens schon ein erstes bild vom bei der in qatar,neutral
1180,so als adventsbescherung breaking die in soll von november bis dezember stattfinden sports illustrated by,neutral
1181,von november bis dezember alsona das kann ja eine lustige saison werden nicht,positive
1182,rt breaking die in soll von november bis dezember stattfinden sports illustrated,neutral
1183,breaking die in soll von november bis dezember stattfinden sports illustrated,neutral
1184,ethikkommission stellt erste schlussberichte zur fertig,negative
1185,sag mal jemand bescheid wenn der motivwagen aus katar mit fröhlichen bauarbeitern vorbeikommt helau,positive
1186,glaube dass am ende wieder alles mit geld geregelt werden wird,neutral
1187,im interview exsportdirektor der qatar stars league sehr doppeldeutige aussagen ib,neutral
1188,droht dem fußball das handballfiasko habs mal durchgesponnen,negative
1189,in katar es bleibt zu hoffen dass sich jemand bei der ein herz fasst und das verhindert,negative
1190,ronaldo neymar messi james higuain pepe courtois usw alles spieler mit potential qatari zu werden,neutral
1191,würde ich wirklich überlegen mit dem fußball nix mehr zu tun haben zu wollen,positive
1192,wenn pep wirklich nationaltrainer von katar zur wird verlier ich den glauben an die welt,positive
1193,katar will pep als wmtrainer für 2022,neutral
1194,bieten die kataris toptalentendie noch kein aländerspiel gemacht habenegtl jez schon geldkofferdamits auch so bleibt,neutral
1195,möchte als trainer für die und bietet ein beinahe zweistelliges millionengehalt france football via sb,positive
1196,für fifa ist neue nationalhymne katars in arbeit in den sprachen brasiliero spanisch polnisch amp türkisch,neutral
1197,gekauftespieler gekauftefans gekaufteschiedsrichtergekauftertrainer freu mich schon auf die fussball in katar,neutral
1198,jo und dann warten wir mal ab was zur so werden wirdhaben die ja viel zeit für gute nachwuchsarbeit,positive
1199,ja wirklich unglaublich,positive
1200,mir schwant böses für die,neutral
1201,bin mal gespannt wen für die noch alles einbürgert,neutral
1202,suche mit millionen kauft sich katar ein fußballweltmeisterteam via,negative
1203,eingebürgerte stars für sportlichen erfolg auch bei der fußball eine analyse des systems,positive
1204,wenn die fußball der gleicht dann gute nacht beschwert sich auf,neutral
1205,alles gesagt schade jungs da kriegt man doch richtig lust auf eine wm im winter 2022,neutral
1206,gibt es eigentlich anzeichen dafür das katar nachwuchsfussballer in aller welt scoutet für die,neutral
1207,wenn katar handballweltmeister wird werden sie auch 2022 fußballweltmeister bis dahin kann man profis einbürgern,neutral
1208,da kann man sich ja wirklich schon auf die freuen,positive
1209,vermute ja dass bereits scouts katars durch die welt reisen um für die junge nachwuchkicker zu sichten 7,neutral
1210,na schon jemand eine vorstellung wie das bei der fußballwm 2022 laufen wird,neutral
1211,heute bekamen wir bereits einen vorgeschmack wie die in ablaufen wird ich werde da als fan nicht hinreisen,neutral
1212,das was bei der in katar ua gekauftes teamfansampschiris passiertist nur der vorgeschmack auf die super,neutral
1213,hallo wenn ihr noch für die fans braucht ich hätte noch zeit bankverbindung schicke ich per dm,neutral
1214,du überschätzt das kollektive gedächtnis massiv be prepared,negative
1215,und hier die aufstellung von bei der,neutral
1216,mannschaftsaufstellung von katar bei der wm 2020 neuer ronaldo messi müller ribery robben,neutral
1217,hoffentlich nehmen sie ihm nicht den pass ab und lassen ihn stadien für die bauen,neutral
1218,da bekommt man einen quatarmal schauen wer sich alles für einbürgern lässt,neutral
1219,looses vs some mercaneries in team qatar really bad for the reputation of good this will not happen,neutral
1220,läuft halt wie geschmiert für katar respekt an starkes turnier vorfreude auf die steigt nicht,neutral
1221,2022 werden wir wohl kein weltmeister,neutral
1222,kopf hoch liebe bei der wird es eine historische klatsche für gegen das geben,positive
1223,ohne mich,neutral
1224,jetzt muss die nur noch die statuten ändern damit katar sich bis zur noch spieler kaufen kann,negative
1225,ich glaube ich werde die einfach boykottieren,negative
1226,vorgeschmack auf die,neutral
1227,wie viel will den schiris bei der zahlen damit sowas wie gerade dort nicht passiert,neutral
1228,verpfeifen fans aussperren was kommt als nächstes da kann man sich ja schon auf wm 2022 freuen schlimm,negative
1229,ich freue mich immer für teams die sportlich ehrlich weiterkommen vorgeschmack auf die,positive
1230,bin schon gespannt aus welchen nationen katars fußballauswahl zusammengestellt wird,neutral
1231,beim spiel frage ich mich ob die im ebenfalls ein viertelfinale hervorbringen wird,neutral
1232,fußball 500 schlagzeilen vom 2812015,neutral
1233,europarat fordert wmneuvergabe,neutral
1234,ausschuss des europarats fordert auf wegen die austragung der zu entziehen,neutral
1235,kaum zweifel an bestechung europarat fordert neuvergabe der fußballwm 2022,neutral
1236,kritik an fifa europarat nennt wmvergabe an katar illegal,neutral
1237,europarat hat kaum zweifel dass fifaexekutivmitglied aus über 30 stimmen kaufte,negative
1238,kritik an nennt wmvergabe an katar illegal,neutral
1239,auch der greift die für ihre vergabe der an an und fordert eine neuausschreibung,neutral
1240,rums der fordert von der eine neuvergabe der,neutral
1241,handballer im viertelfinale starke leistung glaubt weiter an euch dann ist mindestens platz 3 drin,positive
1242,irgendwann muss pep guardiola ja damit beginnen katar auf die vorzubereiten,neutral
1243,vllt 2022 hab schonmal gegen nen ball gekickt bin für jeden einbürgerungstest bereit,neutral
1244,bin neugierig auf das publikum bei der in katar,neutral
